"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210913_225827.zc","0","0","8.696051","","","2021-09-13","22:58:27","22","2021-09-13","10:58:27","10","EPTFUS","","","","","","","","","","","","","","","","","","","","1","","","","","","s+6SSEuhMJC2WPEtXJ9xEQ==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210914_224633.zc","0","0","6.655315","","","2021-09-14","22:46:33","22","2021-09-14","10:46:33","10","LASCIN","3","3","1","0.548899","","","3","18.773","36.08","2.311","19.579","18.613","19.025","1653.678","19.209","0.97","119.97","1.749","1.31","1","","","","","","cdhs5NDMIPjGMiAe0MBBPw==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210914_023953.zc","0","0","4.441596","","","2021-09-14","02:39:53","2","2021-09-13","14:39:53","14","LASCIN","3","3","1","0.35631","EPTFUS","","3","21.921","17.2","4.693","22.412","21.769","19.614","16.729","22.039","2.615","78.47","3.705","0.58","1","","","","","","CLFqvfWqyIjQaboDGJmRvQ==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210914_224623.zc","0","0","3.445785","","","2021-09-14","22:46:23","22","2021-09-14","10:46:23","10","LASCIN","2","2","1","0.427561","EPTFUS","","2","20.537","20.66","2.323","21.221","20.381","20.69","359.341","20.731","1.101","120.09","1.778","1.33","1","","","","","","jelXNuR966yReyMfD1f3hQ==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210913_210446.zc","0","0","5.002828","","","2021-09-13","21:04:46","21","2021-09-13","09:04:46","9","LASNOC","2","2","1","0.311769","EPTFUS","LASCIN","2","28.04","-29.32","3.268","29.101","27.45","28.087","611.338","27.663","1.708","-92.62","2.414","0.88","1","","","","","","npabPPRMl5EXkLjQzSLlSA==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210909_031157.zc","0","0","10.883795","","","2021-09-09","03:11:57","3","2021-09-08","15:11:57","15","NoID","2","0","0","0","","","2","24.618","13.98","2.264","25.389","24.386","24.763","6.336","24.813","0.88","131.56","2.032","1.04","1","","","","","","F5ZO0p2bWW0N9AugNMqPxw==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210909_042603.zc","0","0","7.684599","","","2021-09-09","04:26:03","4","2021-09-08","16:26:03","16","NoID","5","0","0","0","","","5","45.986","220.6","2.448","78.186","45.607","56.573","98.214","54.313","1.276","33.07","2.36","1.41","1","","","","","","ezrOY3dU09WSFtAaCQ7ONA==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210908_195958.zc","0","0","4.850294","","","2021-09-08","19:59:58","19","2021-09-08","07:59:58","7","NoID","2","0","0","0","","","2","24.743","30.52","2.715","26.089","24.355","25.102","777.664","25.168","1.248","20.65","2.052","0.83","1","","","","","","kYPFYSbOCsz3Q1CBvdNu9w==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210910_014656.zc","0","0","3.574997","","","2021-09-10","01:46:56","1","2021-09-09","13:46:56","13","NoID","2","0","0","0","","","2","51.331","233.83","2.102","77.707","50.199","59.927","103.706","61.553","0.824","513.96","1.945","0.58","1","","","","","","tOqvyN3SpEmebMwC96iWSQ==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210911_205459.zc","0","0","9.863748","","","2021-09-11","20:54:59","20","2021-09-11","08:54:59","8","NoID","16","0","0","0","","","16","15.684","15.1","2.183","16.112","13.652","15.007","215.144","15.866","0.366","-3.24","1.064","5.25","1","","","","","","zNv1ZkjHnw7AVJ5Y0Yht2Q==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210913_202532.zc","0","0","6.954304","","","2021-09-13","20:25:32","20","2021-09-13","08:25:32","8","NoID","3","0","0","0","","","3","16.44","98.81","2.065","17.494","13.933","15.5","693.079","17.494","0","113.67","0.807","1.03","1","","","","","","R+62eiHxT8V8HMWEwb5EZQ==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210914_224904.zc","0","0","7.378337","","","2021-09-14","22:49:04","22","2021-09-14","10:49:04","10","NoID","3","0","0","0","","","3","16.746","53.8","2.01","17.568","14.473","15.92","1341.137","17.106","0.571","42.74","1.127","1.3","1","","","","","","pZS/TzC3LvpYgGqqMd9k6Q==","",""
"/Volumes/NO NAME/chrono/1633/Data","/Volumes/NO NAME/chrono/1633/Output","","SMU01633_20210912_195008.zc","0","0","9.683001","","","2021-09-12","19:50:08","19","2021-09-12","07:50:08","7","NoID","2","0","0","0","","","2","24.85","0.8","7.905","26.151","23.055","24.775","2993.841","24.968","2.974","37.1","4.331","1.41","1","","","","","","YKMIX/mc0RwUIdSw+tYMwA==","",""
